"","Species","states"
"1","Daubentonia_madagascariensis",1
"2","Allocebus_trichotis",1
"3","Avahi_laniger",1
"4","Avahi_occidentalis",1
"5","Avahi_unicolor",1
"6","Cheirogaleus_adipicaudatus",0
"7","Cheirogaleus_crossleyi",0
"8","Cheirogaleus_major",0
"9","Cheirogaleus_medius",0
"10","Cheirogaleus_minusculus",0
"11","Cheirogaleus_ravus",0
"12","Cheirogaleus_sibreei",0
"13","Eulemur_albifrons",0
"14","Eulemur_albocollaris",0
"15","Eulemur_cinereiceps",0
"16","Eulemur_collaris",0
"17","Eulemur_coronatus",0
"18","Eulemur_fulvus",0
"19","Eulemur_macaco",0
"20","Eulemur_mongoz",0
"21","Eulemur_rubriventer",0
"22","Eulemur_rufus",0
"23","Eulemur_sanfordi",0
"24","Hapalemur_alaotrensis",1
"25","Hapalemur_aureus",1
"26","Hapalemur_griseus",1
"27","Hapalemur_occidentalis",1
"28","Indri_indri",1
"29","Lemur_catta",0
"30","Lepilemur_ankaranensis",1
"31","Lepilemur_dorsalis",1
"32","Lepilemur_edwardsi",1
"33","Lepilemur_leucopus",1
"34","Lepilemur_microdon",1
"35","Lepilemur_mustelinus",1
"36","Lepilemur_ruficaudatus",1
"37","Lepilemur_septentrionalis",1
"38","Microcebus_berthae",0
"39","Microcebus_griseorufus",1
"40","Microcebus_murinus",0
"41","Microcebus_myoxinus",1
"42","Microcebus_ravelobensis",1
"43","Microcebus_rufus",0
"44","Microcebus_sambiranensis",1
"45","Microcebus_tavaratra",1
"46","Mirza_coquereli",1
"47","Phaner_electromontis",1
"48","Phaner_furcifer",1
"49","Phaner_pallescens",1
"50","Phaner_parienti",1
"51","Prolemur_simus",1
"52","Propithecus_coquereli",1
"53","Propithecus_deckenii",1
"54","Propithecus_diadema",1
"55","Propithecus_edwardsi",1
"56","Propithecus_perrieri",1
"57","Propithecus_tattersalli",1
"58","Propithecus_verreauxi",1
"59","Varecia_rubra",0
"60","Varecia_variegata",0
"61","Arctocebus_aureus",1
"62","Arctocebus_calabarensis",1
"63","Euoticus_elegantulus",1
"64","Euoticus_pallidus",1
"65","Galago_alleni",0
"66","Galago_gabonensis",0
"67","Galago_gallarum",1
"68","Galago_matschiei",1
"69","Galago_moholi",1
"70","Galago_senegalensis",1
"71","Galagoides_demidoff",1
"72","Galagoides_granti",1
"73","Galagoides_nyasae",1
"74","Galagoides_orinus",1
"75","Galagoides_rondoensis",1
"76","Galagoides_thomasi",1
"77","Galagoides_zanzibaricus",0
"78","Loris_lydekkerianus",1
"79","Loris_tardigradus",1
"80","Nycticebus_bengalensis",1
"81","Nycticebus_coucang",1
"82","Nycticebus_pygmaeus",1
"83","Otolemur_crassicaudatus",0
"84","Otolemur_garnetti",0
"85","Otolemur_monteiri",0
"86","Perodicticus_potto",0
"87","Pseudopotto_martini",1
"88","Allenopithecus_nigroviridis",0
"89","Alouatta_belzebul",0
"90","Alouatta_caraya",0
"91","Alouatta_coibensis",0
"92","Alouatta_guariba",0
"93","Alouatta_macconnelli",0
"94","Alouatta_nigerrima",0
"95","Alouatta_palliata",0
"96","Alouatta_pigra",0
"97","Alouatta_sara",0
"98","Alouatta_seniculus",0
"99","Aotus_azarai",0
"100","Aotus_brumbacki",0
"101","Aotus_hershkovitzi",0
"102","Aotus_infulatus",0
"103","Aotus_lemurinus",0
