"";"x"
"1";458
"2";438
"3";474
"4";381
"5";260
"6";290
"7";411
"8";469
"9";422
"10";390
"11";247
"12";222
"13";307
"14";372
"15";374
"16";339
"17";342
"18";274
"19";254
"20";247
"21";237
"22";465
"23";385
"24";210
"25";318
"26";393
"27";267
"28";497
"29";360
"30";378
"31";468
"32";303
"33";397
"34";260
"35";396
"36";319
"37";403
"38";463
"39";456
"40";351
"41";422
"42";467
"43";352
"44";378
"45";203
"46";226
"47";356
"48";491
"49";211
"50";491
"51";264
"52";256
"53";252
"54";215
"55";327
"56";450
"57";378
"58";358
"59";233
"60";208
"61";245
"62";281
"63";254
"64";480
"65";362
"66";244
"67";209
"68";233
"69";253
"70";427
"71";372
"72";456
"73";459
"74";495
"75";444
"76";416
"77";264
"78";390
"79";331
"80";214
"81";305
"82";316
"83";305
"84";376
"85";357
"86";417
"87";207
"88";350
"89";243
"90";249
"91";427
"92";480
"93";303
"94";434
"95";278
"96";278
"97";341
"98";214
"99";316
"100";203
"101";201
"102";473
"103";252
"104";419
"105";277
"106";448
"107";440
"108";475
"109";394
"110";261
"111";439
"112";275
"113";399
"114";355
"115";368
"116";236
"117";498
"118";340
"119";344
"120";428
"121";215
"122";312
"123";204
"124";240
"125";397
"126";416
"127";485
"128";400
"129";489
"130";448
"131";328
"132";202
"133";346
"134";355
"135";405
"136";460
"137";258
"138";200
"139";330
"140";373
"141";307
"142";356
"143";211
"144";255
"145";324
"146";380
"147";357
"148";312
"149";439
"150";229
"151";436
"152";414
"153";329
"154";275
"155";498
"156";253
"157";378
"158";393
"159";247
"160";213
"161";323
"162";410
"163";203
"164";243
"165";262
"166";476
"167";460
"168";252
"169";445
"170";301
"171";218
"172";342
"173";219
"174";212
"175";310
"176";439
"177";287
"178";318
"179";324
"180";266
"181";385
"182";257
"183";274
"184";410
"185";345
"186";409
"187";431
"188";236
"189";204
"190";267
"191";401
"192";432
"193";256
"194";327
"195";251
"196";388
"197";306
"198";306
"199";225
"200";321
"201";261
"202";280
"203";207
"204";298
"205";397
"206";491
"207";488
"208";456
"209";280
"210";391
"211";286
"212";283
"213";290
"214";355
"215";405
"216";206
"217";392
"218";379
"219";412
"220";353
"221";488
"222";435
"223";293
"224";327
"225";413
"226";355
"227";255
"228";480
"229";225
"230";323
"231";466
"232";445
"233";381
"234";280
"235";485
"236";222
"237";491
"238";452
"239";350
"240";205
"241";244
"242";258
"243";265
"244";250
"245";425
"246";247
"247";288
"248";461
"249";406
"250";472
"251";353
"252";400
"253";283
"254";244
"255";250
"256";469
"257";252
"258";413
"259";454
"260";304
"261";294
"262";237
"263";216
"264";208
"265";406
"266";472
"267";262
"268";386
"269";432
"270";296
"271";273
"272";499
"273";373
"274";392
"275";281
"276";443
"277";421
"278";251
"279";468
"280";364
"281";310
"282";311
"283";476
"284";439
"285";312
"286";470
"287";379
"288";332
"289";436
"290";212
"291";393
"292";366
"293";412
"294";449
"295";376
"296";227
"297";284
"298";223
"299";260
"300";484
"301";265
"302";395
"303";490
"304";266
"305";393
"306";324
"307";249
"308";210
"309";239
"310";373
"311";299
"312";481
"313";437
"314";293
"315";415
"316";424
"317";354
"318";452
"319";342
"320";223
"321";342
"322";409
"323";322
"324";492
